timestamp,added_by,author,title,type,where
2025-10-21 15:16:19.652801,Oleg Lavrovsky,Chan and Goldstein,Engagement in Practice: Social Performance and Harm in Civic Hackathons,Other,http://peer.asee.org/37043
2025-10-21 15:16:19.652807,Oleg Lavrovsky,Briscoe,Digital Innovation: The Hackathon Phenomenon,Journal,https://www.semanticscholar.org/paper/Digital-Innovation%3A-The-Hackathon-Phenomenon-Briscoe/cb8e44ec1bcd6062e5fccafb6837030be334731d
2025-10-21 15:16:19.652813,Oleg Lavrovsky,Bulathwela et al.,"Artificial Intelligence Alone Will Not Democratise Education: On Educational Inequality, Techno-Solutionism and Inclusive Tools",Journal,https://www.mdpi.com/2071-1050/16/2/781
2025-10-21 15:16:19.652817,Oleg Lavrovsky,Hou and Wang,Hacking with NPOs: Collaborative Analytics and Broker Roles in Civic Data Hackathons,Journal,https://dl.acm.org/doi/10.1145/3134688
2025-10-21 15:16:19.652822,Oleg Lavrovsky,Taylor and Clarke,Everybody's Hacking: Participation and the Mainstreaming of Hackathons,Other,https://dl.acm.org/doi/10.1145/3173574.3173746
2025-10-21 15:16:19.652827,Oleg Lavrovsky,Endrissat and Islam,"Hackathons as Affective Circuits: Technology, organizationality and affect",Journal,http://journals.sagepub.com/doi/10.1177/01708406211053206
2025-10-21 15:16:19.652832,Oleg Lavrovsky,Schulten and Chounta,How do we learn in and from Hackathons? A systematic literature review,Journal,https://link.springer.com/10.1007/s10639-024-12668-1
2025-10-21 15:16:19.652894,Oleg Lavrovsky,Szymanska et al.,The Effects of Hackathons on the Entrepreneurial Skillset and Perceived Self-Efficacy as Factors Shaping Entrepreneurial Intentions,Journal,https://www.mdpi.com/2076-3387/10/3/73
2025-10-21 15:16:19.652993,Oleg Lavrovsky,Lombard et al.,Play and work for greater good: the case of hackathons,Journal,https://www.ssrn.com/abstract=4783197
2025-10-21 15:16:19.653001,Oleg Lavrovsky,Sajja et al.,"Integrating Generative AI in Hackathons: Opportunities, Challenges, and Educational Implications",Other,http://arxiv.org/abs/2401.17434
2025-10-21 15:16:19.653007,Oleg Lavrovsky,Birbeck et al.,Self Harmony: Rethinking Hackathons to Design and Critique Digital Technologies for Those Affected by Self-Harm,Other,https://dl.acm.org/doi/10.1145/3025453.3025931
2025-10-21 15:16:19.653011,Oleg Lavrovsky,Mendes et al.,Socio-technical Constraints and Affordances of Virtual Collaboration - A Study of Four Online Hackathons,Journal,https://dl.acm.org/doi/10.1145/3555221
2025-10-21 15:16:19.653015,Oleg Lavrovsky,Wang et al.,Institutionalizing healthcare hackathons to promote diversity in collaboration in medicine,Journal,https://doi.org/10.1186/s12909-018-1385-x
2025-10-21 15:16:19.653018,Oleg Lavrovsky,Imam and Dey,Tracking Hackathon Code Creation and Reuse,Other,https://ieeexplore.ieee.org/abstract/document/9463076/
2025-10-21 15:16:19.653022,Oleg Lavrovsky,Tucci et al.,Translating Science Into Business Innovation: The Case of Open Food and Nutrition Data Hackathons,Journal,https://www.frontiersin.org/article/10.3389/fnut.2018.00096/full
2025-10-21 15:16:19.653026,Oleg Lavrovsky,Trinaistic,Hackathons as Instruments for Settlement Sector Innovation,Journal,https://www.jstor.org/stable/48645213
2025-10-21 15:51:46.471149,Oleg Lavrovsky,Araújo et al.,Can participation in a hackathon impact the motivation of software engineering students? A preliminary case study analysis,Other,http://arxiv.org/abs/2402.05339
